YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W20,IT,3127488.0,,,126,,272,3620,14613,0,0,0,0,ITI1,ALL,COM,59030133
2022-W20,IT,3744936.0,,,13,,63,1118,2980,0,0,0,0,ITH5,ALL,MOD,59030133
2022-W20,IT,3744936.0,,,3,,26,2,0,1,0,0,0,ITH5,ALL,NVXD,59030133
2022-W20,IT,3744936.0,,,107,,262,5415,20896,1,0,0,0,ITH5,ALL,COM,59030133
2022-W20,IT,1307406.0,,,15,,18,391,995,0,0,0,0,ITC3,ALL,MOD,59030133
2022-W20,IT,1307406.0,,,6,,9,0,0,0,0,0,0,ITC3,ALL,NVXD,59030133
2022-W20,IT,1307406.0,,,68,,108,1227,3053,0,0,0,0,ITC3,ALL,COM,59030133
2022-W20,IT,1024661.0,,,2,,10,82,130,0,0,0,0,ITH4,ALL,MOD,59030133
2022-W20,IT,1024661.0,,,10,,19,4,0,0,0,0,0,ITH4,ALL,NVXD,59030133
2022-W20,IT,1024661.0,,,77,,122,1040,2059,0,0,0,0,ITH4,ALL,COM,59030133
2022-W20,IT,4094677.0,,,14,,39,1096,1738,0,0,0,0,ITH3,ALL,MOD,59030133
2022-W20,IT,4094677.0,,,9,,26,4,0,0,0,0,0,ITH3,ALL,NVXD,59030133
2022-W20,IT,4094677.0,,,106,,231,2450,4586,0,0,0,0,ITH3,ALL,COM,59030133
2022-W20,IT,449838.0,,,0,,4,32,57,0,0,0,0,ITH2,ALL,MOD,59030133
2022-W20,IT,449838.0,,,2,,4,0,0,0,0,0,0,ITH2,ALL,NVXD,59030133
2022-W20,IT,449838.0,,,12,,33,281,679,0,0,0,0,ITH2,ALL,COM,59030133
2022-W20,IT,432409.0,,,5,,4,131,49,0,0,0,0,ITH1,ALL,MOD,59030133
2022-W20,IT,432409.0,,,3,,4,0,0,0,0,0,0,ITH1,ALL,NVXD,59030133
2022-W20,IT,432409.0,,,17,,29,297,520,0,0,0,0,ITH1,ALL,COM,59030133
2022-W20,IT,8349264.0,,,31,,64,1944,4161,0,0,0,0,ITC4,ALL,MOD,59030133
2022-W20,IT,8349264.0,,,20,,55,5,0,0,0,0,0,ITC4,ALL,NVXD,59030133
2022-W20,IT,8349264.0,,,217,,415,8087,19508,2,0,0,0,ITC4,ALL,COM,59030133
2022-W20,IT,104499.0,,,0,,0,13,39,0,0,0,0,ITC2,ALL,MOD,59030133
2022-W20,IT,104499.0,,,1,,0,0,0,0,0,0,0,ITC2,ALL,NVXD,59030133
2022-W20,IT,104499.0,,,2,,3,63,90,0,0,0,0,ITC2,ALL,COM,59030133
2022-W20,IT,3632712.0,,,32,,126,3340,24043,0,0,0,0,ITC1,ALL,MOD,59030133
2022-W20,IT,3632712.0,,,8,,24,0,0,0,0,0,0,ITC1,ALL,NVXD,59030133
2022-W20,IT,3632712.0,,,0,,2,7,1,0,0,0,0,ITC1,ALL,JANSS,59030133
2022-W20,IT,3632712.0,,,119,,249,2239,17067,0,0,0,0,ITC1,ALL,COM,59030133
2022-W20,IT,49811219.0,182.0,,212,,775,12107,39732,1,0,0,0,IT,ALL,MOD,59030133
2022-W44,IT,104499.0,,,0,,0,1,25,1,0,0,0,ITC2,ALL,MODBA.1,59030133
2022-W44,IT,104499.0,,,0,,0,4,62,7,0,0,0,ITC2,ALL,COMBA.4-5,59030133
2022-W44,IT,104499.0,,,0,,0,13,403,15,0,0,0,ITC2,ALL,COMBA.1,59030133
2022-W44,IT,104499.0,,,1,,2,0,0,0,0,0,0,ITC2,ALL,COM,59030133
2022-W44,IT,3632712.0,,,0,,0,0,1,0,0,0,0,ITC1,ALL,MOD,59030133
2022-W44,IT,3632712.0,,,0,,0,11,128,1,0,0,0,ITC1,ALL,MODBA.1,59030133
2022-W44,IT,3632712.0,,,0,,1,0,0,0,0,0,0,ITC1,ALL,JANSS,59030133
2022-W44,IT,3632712.0,,,1,,1,303,4663,1735,0,0,0,ITC1,ALL,COMBA.4-5,59030133
